timestamp,lon,lat
1657651200.000,13.40000230,52.51872520
1657651211.000,13.40003400,52.51872150
1657651214.000,13.40007670,52.51873040
1657651215.000,13.40010760,52.51873340
1657651217.000,13.40014000,52.51873360
1657651219.000,13.40017340,52.51873740
1657651222.000,13.40021100,52.51874510
1657651224.000,13.40023560,52.51875720
1657651230.000,13.40026490,52.51876270
1657651234.000,13.40030560,52.51877370
1657651237.000,13.40034730,52.51877550
1657651241.000,13.40038160,52.51877430
1657651244.000,13.40037880,52.51880250
1657651246.000,13.40039550,52.51882510
1657651248.000,13.40041820,52.51883870
1657651249.000,13.40044500,52.51882950
1657651249.000,13.40045910,52.51881310
1657651250.000,13.40047420,52.51878350
1657651251.000,13.40051170,52.51871880
1657651251.000,13.40048870,52.51875770
1657651252.000,13.40055470,52.51865660
1657651252.000,13.40052480,52.51870050
1657651253.000,13.40057970,52.51861690
1657651254.000,13.40059100,52.51859990
1657651254.000,13.40060330,52.51858110
1657651255.000,13.40061660,52.51856310
1657651256.000,13.40063910,52.51853860
1657651257.000,13.40066140,52.51850960
1657651259.000,13.40068290,52.51848970
1657651260.000,13.40070050,52.51847460
1657651261.000,13.40072780,52.51846440
1657651262.000,13.40077930,52.51846630
1657651263.000,13.40079450,52.51849470
1657651264.000,13.40082600,52.51852760
1657651265.000,13.40083230,52.51855950
1657651266.000,13.40082150,52.51858330
1657651267.000,13.40079750,52.51863670
1657651268.000,13.40078720,52.51866070
1657651269.000,13.40078030,52.51868250
1657651271.000,13.40077090,52.51870050
1657651274.000,13.40080000,52.51869320
1657651286.000,13.40083960,52.51868810
1657651288.000,13.40087770,52.51867930
1657651289.000,13.40090920,52.51867030
1657651291.000,13.40094130,52.51866160
1657651293.000,13.40097250,52.51865520
1657651295.000,13.40100040,52.51864830
1657651298.000,13.40103090,52.51864700
1657651300.000,13.40113830,52.51865660
1657651301.000,13.40119020,52.51866210
1657651303.000,13.40122660,52.51866760
1657651312.000,13.40124840,52.51868110
1657651313.000,13.40126930,52.51869530
1657651314.000,13.40130560,52.51871810
1657651315.000,13.40133200,52.51872880
1657651316.000,13.40136560,52.51874040
1657651317.000,13.40139610,52.51874980
1657651318.000,13.40145740,52.51876650
1657651319.000,13.40153200,52.51878540
1657651320.000,13.40159740,52.51880090
1657651322.000,13.40164570,52.51880850
1657651323.000,13.40168420,52.51881130
1657651324.000,13.40171630,52.51882850
1657651326.000,13.40174400,52.51883580
1657651327.000,13.40181370,52.51884760
1657651328.000,13.40185360,52.51885530
1657651330.000,13.40190230,52.51885720
1657651331.000,13.40194980,52.51885480
1657651332.000,13.40198810,52.51885160
1657651333.000,13.40202020,52.51885030
1657651335.000,13.40205210,52.51884730
1657651339.000,13.40209200,52.51884780
1657651341.000,13.40211980,52.51883790
1657651342.000,13.40215300,52.51880900
1657651343.000,13.40218540,52.51878380
1657651344.000,13.40222210,52.51875700
1657651345.000,13.40224520,52.51874160
1657651346.000,13.40227110,52.51873240
1657651346.000,13.40230100,52.51871910
1657651347.000,13.40235060,52.51869820
1657651349.000,13.40238570,52.51869020
1657651352.000,13.40241950,52.51869870
1657651353.000,13.40240410,52.51872310
1657651355.000,13.40240040,52.51874970
1657651358.000,13.40240560,52.51877100
1657651361.000,13.40241950,52.51878910
1657651361.000,13.40240110,52.51880370
1657651365.000,13.40240340,52.51882600
1657651368.000,13.40240540,52.51884790
1657651370.000,13.40242930,52.51886690
1657651371.000,13.40243590,52.51888880
1657651372.000,13.40241960,52.51890460
1657651375.000,13.40239680,52.51891850
1657651378.000,13.40238940,52.51894220
1657651383.000,13.40241900,52.51894800
1657651397.000,13.40244220,52.51896700
1657651398.000,13.40244310,52.51899700
1657651398.000,13.40245020,52.51902210
1657651399.000,13.40246180,52.51904380
1657651401.000,13.40249150,52.51906140
1657651403.000,13.40252720,52.51905920
1657651411.000,13.40255550,52.51906480
1657651412.000,13.40259530,52.51908060
1657651413.000,13.40264410,52.51909480
1657651414.000,13.40267240,52.51910530
1657651416.000,13.40270110,52.51911960
1657651418.000,13.40273400,52.51913980
1657651443.000,13.40275390,52.51916270
1657651444.000,13.40277830,52.51917970
1657651446.000,13.40280360,52.51919150
1657651451.000,13.40282980,52.51917900
1657651453.000,13.40281870,52.51915460
1657651457.000,13.40278890,52.51914490
1657651471.000,13.40275500,52.51916140
1657651480.000,13.40279130,52.51917710
1657651481.000,13.40283680,52.51918640
1657651483.000,13.40288480,52.51919680
1657651484.000,13.40291360,52.51920860
1657651485.000,13.40294240,52.51921750
1657651486.000,13.40297560,52.51923180
1657651488.000,13.40300240,52.51924670
1657651490.000,13.40302170,52.51926830
1657651491.000,13.40303250,52.51928580
1657651493.000,13.40305080,52.51930550
1657651495.000,13.40306410,52.51932350
1657651500.000,13.40307730,52.51934960
1657651501.000,13.40309150,52.51936850
1657651503.000,13.40310490,52.51938750
1657651504.000,13.40312680,52.51940310
1657651505.000,13.40315160,52.51942830
1657651506.000,13.40317300,52.51944980
1657651507.000,13.40318980,52.51946600
1657651509.000,13.40320890,52.51948180
1657651513.000,13.40323630,52.51949730
1657651514.000,13.40326480,52.51951000
1657651515.000,13.40329140,52.51951990
1657651516.000,13.40332200,52.51953330
1657651517.000,13.40334820,52.51954610
1657651519.000,13.40338170,52.51956150
1657651521.000,13.40342180,52.51957630
1657651523.000,13.40345230,52.51958730
1657651525.000,13.40348850,52.51960310
1657651526.000,13.40350850,52.51961650
1657651528.000,13.40353220,52.51963100
1657651530.000,13.40355330,52.51964470
1657651532.000,13.40359400,52.51966620
1657651533.000,13.40362420,52.51967970
1657651534.000,13.40364550,52.51969220
1657651536.000,13.40366560,52.51970860
1657651541.000,13.40366400,52.51972660
1657651549.000,13.40367600,52.51974330
1657651551.000,13.40370610,52.51974540
1657651553.000,13.40374060,52.51975470
1657651555.000,13.40376810,52.51976990
1657651557.000,13.40380910,52.51977040
1657651558.000,13.40384050,52.51976690
1657651562.000,13.40392180,52.51978690
1657651564.000,13.40395090,52.51979720
1657651567.000,13.40397310,52.51981470
1657651571.000,13.40398930,52.51983170
1657651575.000,13.40401440,52.51984900
1657651576.000,13.40405310,52.51987380
1657651577.000,13.40413290,52.51992110
1657651577.000,13.40408170,52.51989100
1657651578.000,13.40416130,52.51993660
1657651578.000,13.40421540,52.51996440
1657651579.000,13.40425840,52.51998490
1657651579.000,13.40428440,52.51999550
1657651586.000,13.40471050,52.51999140
1657651587.000,13.40477560,52.51998540
1657651588.000,13.40483780,52.51998080
1657651589.000,13.40487040,52.51998270
1657651590.000,13.40490770,52.51998650
1657651591.000,13.40494240,52.51998610
1657651592.000,13.40497240,52.51998390
1657651594.000,13.40496420,52.51996600
1657651595.000,13.40490170,52.51989600
1657651595.000,13.40494480,52.51993440
1657651596.000,13.40489880,52.51986660
1657651597.000,13.40488850,52.51984280
1657651599.000,13.40485600,52.51983150
1657651601.000,13.40481350,52.51986150
1657651602.000,13.40473440,52.51992390
1657651603.000,13.40465880,52.51998360
1657651608.000,13.40465380,52.51998960
1657651611.000,13.40465910,52.51997080
1657651615.000,13.40466320,52.51994520
1657651617.000,13.40467030,52.51992440
1657651619.000,13.40466230,52.51990650
1657651621.000,13.40472120,52.51990780
1657651622.000,13.40474630,52.51991870
1657651623.000,13.40476760,52.51993530
1657651624.000,13.40479730,52.51994740
1657651625.000,13.40483170,52.51995940
